Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Khitomer Investigation	Excelsior	ST2E-EN01183	S	Y	1S183	Mission	0	P	2	35	A	[Kli] [Rom]						Programming, Security, Cunning>32, and (2 Honor or 2 Treachery)				
Medical Relief	Excelsior	ST2E-EN01185	U	Y	1U185	Mission	0	P	2	30	A	[Fed] [Kli]						Biology, Exobiology, Medical, and Cunning>32				
Military Exercises	Excelsior	ST2E-EN01186	U	Y	1U186	Mission	0	S	3	35	A	[Car] [Dom] [Fed] [Kli] [Rom]						Leadership, 2 Officer, Security, and Cunning>34				
Romulus Seat of Power	Excelsior	ST2E-EN01195	S	Y	1S195	Mission	0	H	2	0	A	This mission is not attemptable.			Region: Romulus System. 			You may play [Rom] cards, [NA] cards, and equipment at this mission.				
Runabout Search	Excelsior	ST2E-EN01196	U	Y	1U196	Mission	0	P	2	35	A	[Baj] [Fed] [Fer]						Medical, Science, Transporters, Cunning>32, and (Acquisition or Honor)				When you complete this mission, if your ship is at this mission, you may take a [Baj] personnel or a [Fed] personnel from your discard pile and place it aboard that ship.
Search and Rescue	Excelsior	ST2E-EN01197	U	Y	1U197	Mission	0	P	2	35	A	[Baj] [Fed]			Region: Badlands. 			Leadership, 2 Navigation, Security, and Strength>34				You cannot complete this mission if your [Maq] personnel is on this planet.
Study Cometary Cloud	Excelsior	ST2E-EN01201	S	Y	1S201	Mission	0	S	3	35	A	[Dom] [Fer] [Kli] [NA] [Rom]						Astrometrics, Navigation, Programming, Cunning>34, and (Acquisition or Security)				
Supervise Dilithium Mine	Excelsior	ST2E-EN01202	S	Y	1S202	Mission	0	P	1	35	A	[Rom]			Region: Romulus System. 			2 Geology, Leadership, Security, and Strength>34				
Surgery Under Fire	Excelsior	ST2E-EN01203	S	Y	1S203	Mission	0	P	2	35	A	[Fed] [Kli]						Biology, Leadership, Medical, Officer, and Strength>36				
Wormhole Negotiations	Excelsior	ST2E-EN01206	U	Y	1U206	Mission	0	S	2	45	A	[Fed] [Fer] [Kli] [NA] [Rom]						Astrometrics, Cunning>42, and (3 Diplomacy and 2 Honor or Telepathy and 3 Treachery)				
U.S.S. Enterprise-E Federation Envoy	Excelsior	ST2E-EN01392	R	Y	1R392	Ship	7					Federation	[TNG]	[Cmd][Cmd][Stf][Stf]		Sovereign Class			9	9	9	When you complete a [Fed] planet mission, if this ship is at that mission, score 5 points.
U.S.S. Nebula	Excelsior	ST2E-EN01395	S	N	1S395	Ship	5					Federation	[E]	[Cmd][Stf][Stf]		Nebula Class			8	8	8	
Flaxian Scout Vessel	Excelsior	ST2E-EN01404	C	N	1C404	Ship	4					Non-Aligned		[Stf][Stf]		Nimaria Class			7	6	6	
Tamarian Vessel	Excelsior	ST2E-EN01407	C	N	1C407	Ship	6					Non-Aligned		[Cmd][Stf][Stf][Stf]		Darmok Class			8	8	9	
Deranas	Excelsior	ST2E-EN01410	U	Y	1U410	Ship	6					Romulan		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	D'deridex Class			7	9	9	While this ship is at a Region: Neutral Zone mission, it is Weapons +2 and Shields +2.
Exposed Power Relay	Excelsior	ST2E-EN02008	U	N	2U008	Dilemma	3	D														Randomly select a personnel to be stopped.  If you still have nine personnel remaining, that personnel is killed instead, then randomly select a second personnel to be killed.  If you still have ten personnel remaining, your opponent chooses a third personnel to be killed.
Flim-Flam Artist	Excelsior	ST2E-EN02010	U	N	2U010	Dilemma	3	P														Unless you have Diplomacy and 2 Programming or Law and Cunning>32, all your personnel are stopped, your opponent may draw a card, and this dilemma is returned to its owner's dilemma pile.
Picking Up the Pieces	Excelsior	ST2E-EN02017	U	N	2U017	Dilemma	2	P														Unless you have Geology or Programming, all your personnel are stopped.  If you have two or more personnel who have Geology or Programming, randomly select all but one of those personnel to be stopped.
Racial Tension	Excelsior	ST2E-EN02020	C	N	2C020	Dilemma	0	D														Randomly select two personnel.  Unless they are the same species, both are stopped.
Traitor Exposed	Excelsior	ST2E-EN02027	C	N	2C027	Dilemma	3	D														Randomly select a Treachery personnel.  If that personnel has Cunning>6, he or she is stopped.  Otherwise, he or she is killed.
Unexpected	Excelsior	ST2E-EN02028	C	N	2C028	Dilemma	3	D														Randomly select a personnel to be stopped.  Unless you have Astrometrics and 2 Diplomacy or Exobiology and 2 Medical, place that personnel on top of his or her owner's deck instead.
Common Ground	Excelsior	ST2E-EN02035	R	N	2R035	Event	1															To play this event, you must command three [TNG] personnel.  Starting with the player to your left, each player may place a personnel from hand on a headquarters where that personnel could be played. (Yours must be a [TNG] personnel.)  Destroy this event.
Ferocity	Excelsior	ST2E-EN02042	U	Y	2U042	Event	1								Assault. Maneuver. 							Plays in your core.  When you win combat or an engagement involving your [Kli] personnel, you may destroy this event to randomly kill an opponent's personnel involved.
Personal Forcefield	Excelsior	ST2E-EN02052	C	N	2C052	Event	1															Name a unique personnel you command.  For the rest of this turn, when he or she is about to be killed by a dilemma, prevent that.  Destroy this event.
Unexpected Difficulties	Excelsior	ST2E-EN02069	C	N	2C069	Event	0															Plays in your core.  When you have drawn dilemmas, you may destroy this event to return them to your dilemma pile and draw an equal number of dilemmas.
Brute Force	Excelsior	ST2E-EN02098	U	Y	2U098	Mission	0	P	2	40	A	[Kli] [NA]						2 Leadership, 3 Security, and Strength>38				When you complete this mission, if each of your personnel at this mission is a [Kli] personnel, score 5 points.
I.K.S. Qam-Chee	Excelsior	ST2E-EN02174	R	Y	2R174	Ship	7					Klingon		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	Vor'cha Class			8	9	9	While this ship is at an opponent's mission, if this ship is staffed, each of your opponent's personnel and ships at this mission is attributes -1.
Fortune	Excelsior	ST2E-EN02175	R	Y	2R175	Ship	6					Non-Aligned		[Stf][Stf][Stf]		Virayllan Class			8	7	7	When you play this ship, you may download a [NA] Archaeology personnel.
Mercenary Ship	Excelsior	ST2E-EN02176	C	N	2C176	Ship	5					Non-Aligned		[Stf][Stf][Stf]		Virayllan Class			8	7	7	
Tama	Excelsior	ST2E-EN02177	U	Y	2U177	Ship	7					Non-Aligned		[Cmd][Stf][Stf][Stf]		Darmok Class			8	8	9	While this ship is at a planet mission, if this ship is staffed, an opponent must discard a card from hand to beam to or from this planet.
Khazara	Excelsior	ST2E-EN02178	R	Y	2R178	Ship	6					Romulan		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	D'deridex Class			7	9	9	Order - If this ship is on your {Engage Cloak}, examine an opponent's hand and choose one of those cards.  That opponent exchanges that card with the top card of his or her deck.  You may do this only once each turn.
Terix	Excelsior	ST2E-EN02179	R	Y	2R179	Ship	6					Romulan		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	D'deridex Class			7	9	9	While this ship is at an opponent's space mission, if this ship is staffed, that opponent must discard two cards from hand to attempt this mission.
Trolarak	Excelsior	ST2E-EN02180	R	Y	2R180	Ship	6					Romulan		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	D'deridex Class			7	9	9	While this ship is at an opponent's planet mission, if this ship is staffed, that opponent must discard two cards from hand to attempt this mission.
Murder Investigation	Excelsior	ST2E-EN03018	C	N	3C018	Dilemma	4	D														Randomly select three personnel.  If any of those personnel has Security, all three are stopped.
Skeleton Crew	Excelsior	ST2E-EN03028	U	N	3U028	Dilemma	0	D														Place this dilemma on this mission.  To begin a mission attempt at this mission, you must have at least six personnel involved.  When you complete this mission, this dilemma is overcome.
The Demands of Duty	Excelsior	ST2E-EN03031	R	N	3R031	Dilemma	4	P														Your opponent chooses a personnel.  Unless you choose to have all your personnel be stopped, that personnel is killed.
Sensing a Trap	Excelsior	ST2E-EN03053	U	N	3U053	Event	2															To play this event, you must command a [Rom] Intelligence personnel.  Plays in your core.  At the end of each of your turns, name a card.  When an opponent plays that card, score 10 points.  This effect lasts until the start of your next turn.
Expose Changeling Influence	Excelsior	ST2E-EN03090	U	Y	3U090	Mission	0	P	3	40	A	[Baj] [Fed] [Kli]						Anthropology, Engineer, Honor, 2 Security, and Integrity>36				You may attempt and complete this mission using your [Dom] personnel with these requirements: Anthropology, Diplomacy, Intelligence, Security, Treachery, and Cunning>40.
Extract Defector	Excelsior	ST2E-EN03091	U	Y	3U091	Mission	0	P	3	35	A	[Fed] [Kli]						Intelligence, 2 Navigation, and (Security and Strength>34 or Transporters and Cunning>32)				You may attempt and complete this mission using your [Car] or [Dom] personnel with these requirements: Intelligence, Leadership, Programming, Security, and Cunning>34.
Salvage Borg Ship	Excelsior	ST2E-EN03103	S	Y	3S103	Mission	0	P	2	35	A	Any affiliation may attempt this mission.						Astrometrics, Engineer, Medical, Programming, and Cunning>34				
Signal for Rescue	Excelsior	ST2E-EN03105	U	Y	3U105	Mission	0	P	2	45	A	[Dom] [Fed] [Kli]						Biology, Engineer, Programming, Security, Strength>42, and (Diplomacy and Treachery or Honor and Leadership)				
Study Rare Phenomenon	Excelsior	ST2E-EN03107	U	Y	3U107	Mission	0	S	3	35	A	[Fed] [NA]						Engineer, Navigation, Physics, Science, and Cunning>34				You may attempt and complete this mission using your [Dom] personnel with these requirements: Engineer, Leadership, Programming, Security, and Strength>34.
Back Room Dealings	Excelsior	ST2E-EN04006	C	N	4C006	Dilemma	2	D														Choose a personnel who has Treachery or Integrity<4 to be stopped.  If you cannot, randomly select a personnel to be killed.
Emergency Transport Unit	Excelsior	ST2E-EN04032	C	N	4C032	Equipment	2															When your personnel present is about to be killed, you may return this equipment to its owner's hand to place that personnel on your ship at this mission instead.  He or she is stopped.
Escaping Detection	Excelsior	ST2E-EN04050	U	N	4U050	Event	2															To play this event, you must command three [Rom] personnel.  Plays in your core.  While it is not your turn, if you command more events than each of your opponents, each of your personnel aboard your Cloaking Device ship is at all missions in the same quadrant as that ship.
Forever Linked	Excelsior	ST2E-EN04054	U	N	4U054	Event	2															Plays in your core.  When your personnel is killed, you may place him or her on this event. (You no longer command him or her.) When your [Fed] personnel is facing a dilemma, you may place a personnel from this event in his or her owner's discard pile to make that [Fed] personnel gain a skill from that discarded personnel until the end of this turn.
Getting Under Your Skin	Excelsior	ST2E-EN04055	U	Y	4U055	Event	2															To play this event, you must command three [Rom] personnel.  Plays in your core.  When you play an event in your core, you may reveal the top card of an opponent's deck.  If it is a personnel, score 5 points.  You may do this only once each turn.
Holographic Hoax	Excelsior	ST2E-EN04058	C	N	4C058	Event	0															To play this event, you must command three [Rom] personnel.  Choose an opponent to draw a card, then remove the top card of his or her deck from the game.  Destroy this event.
Mission Accomplished	Excelsior	ST2E-EN04061	U	N	4U061	Event	2															Plays in your core.  When you complete a mission, if you command a staffed ship at that mission with its Commander aboard, score 5 points.
Mutual Advantage	Excelsior	ST2E-EN04063	C	N	4C063	Event	0															To play this event, you must command three [Fed] personnel.  Each player discards a card from hand and draws a card.  Then you may draw a card.  Destroy this event.
VIP Welcome	Excelsior	ST2E-EN04081	C	Y	4C081	Event	1															To play this event, you must command three [TNG] personnel.  Plays in your core.  When a player plays a personnel who costs 3 or more, he or she may draw a card.
Collapse Anti-Time Anomaly	Excelsior	ST2E-EN05021ab	P	Y	5P021	Mission	0	S	3	35	A	Any affiliation may attempt this mission.			Region: Neutral Zone. 			Astrometrics, Engineer, Leadership, Physics, and Cunning>36				When your personnel attempt this mission, if there are no dilemmas overcome beneath it, you may download a Q card.
Unknown Microorganism	Excelsior	ST2E-EN06011	P	N	6P011	Dilemma	3	P														Unless you have Biology, Medical, and Science or 2 Security and a non-Hand Weapon equipment, randomly select a personnel to be killed, all of your other personnel are stopped, and this dilemma returns to its owner's dilemma pile.
I.K.S. Bortas	Excelsior	ST2E-EN00021	P	Y	0P021	Ship	6					Klingon		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	Vor'cha Class			8	9	8	When you win an engagement involving this ship, you may discard a card from hand to download a Maneuver event.
Order of the Bat'leth	Excelsior	ST2E-EN01101	U	N	1U101	Event	0															To play this event, you must command a [Kli] Honor personnel.  Discard a card from hand to draw two cards.  Destroy this event.
Warrior's Birthright	Excelsior	ST2E-EN01119	C	N	1C119	Event	2															To play this event, you must command three [Kli] personnel.  Plays on your mission.  You may meet Integrity and Cunning requirements of this mission and each dilemma you face at this mission using Strength instead.
I.K.S. Hegh'ta	Excelsior	ST2E-EN01397	R	Y	1R397	Ship	5					Klingon		[Stf][Stf][Stf]	Cloaking Device. 	K'Vort Class			7	8	7	While this ship is at a space mission, it is Weapons +2.
I.K.S. Maht-H'a	Excelsior	ST2E-EN01401	R	Y	1R401	Ship	6					Klingon		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	Vor'cha Class			8	9	8	While an opponent's Archaeology personnel is at this mission, that opponent must discard a card from hand to use that personnel's skills.
I.K.S. Vor'cha	Excelsior	ST2E-EN01403	S	N	1S403	Ship	5					Klingon		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	Vor'cha Class			8	9	8	
D'deridex Advanced	Excelsior	ST2E-EN01409	U	N	1U409	Ship	5					Romulan		[Cmd][Stf][Stf]	Cloaking Device. 	D'deridex Class			6	7	7	While your [Rom] Intelligence personnel is aboard this ship, this ship is attributes +2.
Bat'leth	Excelsior	ST2E-EN02029ab	C	N	2C029	Equipment	0								Hand Weapon. 							To play this equipment, you must command a Klingon. When you win combat involving your Klingon present, the loser discards a random card from hand.
Guess Who's Coming to Dinner?	Excelsior	ST2E-EN04015	C	N	4C015	Dilemma	2	D														Choose a personnel who has Diplomacy or Integrity>6 to be stopped.  If you cannot, randomly select a personnel to be killed.
Qo'noS Heart of the Empire	Excelsior	ST2E-EN01191	S	Y	1S191	Mission	0	H	2	0	A	This mission is not attemptable.						You may play [Kli] cards, [NA] cards, and equipment at this mission.				
Clash at Chin'toka	Excelsior	ST2E-EN03085	U	Y	3U085	Mission	0	S	3	35	A	[Car] [Dom] [Fed] [Kli] [Rom]						Engineer, Leadership, Navigation, Officer, and Cunning>36				
Noonien Soong Often-Wrong	Excelsior	ST2E-EN07104	R	Y	7R104	Personnel	3					Non-Aligned	[Stf]				Human	Engineer Physics 2 Programming Science	5	7	2	While this personnel is on a planet or aboard a ship, you may play Androids on that planet or ship.  When you play an Android, you may discard a card from hand to download an Android.
Soong-type Android	Excelsior	ST2E-EN07108	C	N	7C108	Personnel	2					Non-Aligned					Android		5	5	5	While this personnel is facing a dilemma, you may reveal three Androids from hand to make it attributes +4 and gain a skill of your choice.  These effects last until the end of the dilemma.  You may do this only once each mission attempt.
Deliver Prisoners	Excelsior	ST2E-EN07047	U	Y	7U047	Mission	0	P	2	35	A	[Car] [Dom] [Kli] [Rom]						Law, Leadership, Security, Treachery, and Strength>32				When you play a Capture or Punishment event, if you have completed this mission, that event's cost is -1.
Dr. Leah Brahms Holographic Representation	Excelsior	ST2E-EN07065	C	Y	7C065	Personnel	2					Federation	[TNG]				Hologram	Astrometrics Engineer Physics Programming	5	6	4	While this personnel is attempting a space mission, she is attributes +1 and gains Engineer.
Flink	Excelsior	ST2E-EN07100	C	N	7C100	Personnel	1					Non-Aligned	[Stf]				Alien	Astrometrics Engineer Medical	5	5	6	
Bruce Maddox Chair of Robotics	Excelsior	ST2E-EN07063	C	Y	7C063	Personnel	2					Federation	[Stf][TNG]				Human	Engineer Officer Programming	4	6	5	While this personnel is present with an Android, he is attributes +1 and gains Exobiology and Science.
Kassem Stern Operative	Excelsior	ST2E-EN07112	U	Y	7U112	Personnel	4					Romulan	[Stf]				Romulan	Intelligence Medical Officer Treachery	4	6	5	When this personnel uses a skill to complete a non-[Rom] mission, score 5 points.  You may do this only once each turn.
Spock Celebrated Ambassador	Excelsior	ST2E-EN07113	R	Y	7R113	Personnel	4					Romulan	[Cmd]		Dissident. 		Human/Vulcan	Archaeology 2 Diplomacy Honor Science	8	8	6	While this personnel is present with a Dissident, each of your Romulan personnel present is attributes +1.
Advanced Battle Simulation	Excelsior	ST2E-EN07045	U	Y	7U045	Mission	0	S	3	35	A	Any affiliation (except [Bor]) may attempt this mission.						2 Leadership, Cunning>33, and (Engineer and Programming or Navigation and Security)				When you play a Manuever event, if you have completed this mission, that event's cost is -1.
Advanced Combat Training	Excelsior	ST2E-EN07046	U	Y	7U046	Mission	0	P	2	35	A	Any affiliation (except [Bor]) may attempt this mission.						Leadership, Medical, Officer, Security, and Strength>34				When you play an Assault event, if you have completed this mission, that event's cost is -1.
Jean-Luc Picard Worf's cha'Dich	Excelsior	ST2E-EN07095	R	Y	7R095	Personnel	4					Klingon	[Cmd]				Human	Diplomacy Honor Law Security	8	6	6	When your Klingon personnel present is selected by a dilemma, you may replace him or her with this personnel.
Ira Graves Noted Molecular Cyberneticist	Excelsior	ST2E-EN07101	R	Y	7R101	Personnel	4					Non-Aligned					Human	Biology Engineer Exobiology 2 Programming Treachery	3	7	3	When this personnel or your Android present is about to be stopped or killed by a dilemma, you may discard an Android from hand to prevent that.  You may do this only once each turn.
Kivas Fajo Collector	Excelsior	ST2E-EN07102	R	Y	7R102	Personnel	3					Non-Aligned	[Cmd]		Commander:   Jovis. Thief. 		Zibalian	2 Acquisition Archaeology Exobiology Science 2 Treachery	2	6	5	While this personnel is facing a dilemma, you may meet Diplomacy and Honor requirements of that dilemma using Acquisition instead.
Tebok Posturing Commander	Excelsior	ST2E-EN07114	C	Y	7C114	Personnel	2					Romulan	[Cmd]				Romulan	Astrometrics Diplomacy Navigation Officer	4	6	7	You may play this personnel at cost +1 to reveal the top three cards of an opponent's deck and replace them in any order.
Devoras	Excelsior	ST2E-EN07120	R	Y	7R120	Ship	6					Romulan		[Cmd][Stf][Stf][Stf]	Cloaking Device. 	D'deridex Class			7	9	9	When an opponent's personnel is killed, if this ship is at the same mission, you may place a [Rom] personnel from hand who has the same cost aboard this ship.
Jean-Luc Picard Bearer of Ill Tidings	Excelsior	ST2E08091ab	R	Y	8R091	Personnel	4					Romulan	[Cmd]		Dissident. 		Human	Anthropology Diplomacy Intelligence Security	8	6	6	When this personnel is present with your Dissident and a dilemma is about to be revealed, you may lose 5 points to shuffle your opponent's dilemma stack.
Control Plague	Excelsior	ST2E08054	U	Y	8U054	Mission	0	P	2	35	A	[Kli] [SF]						Biology, Exobiology, 2 Medical, and Cunning>34 or Leadership, 2 Security, Treachery, and Strength>34				
Kieran MacDuff Executive Officer	Excelsior	ST2E08083	R	Y	8R083	Personnel	3					Non-Aligned	[Cmd]		Infiltrator. 		Satarran	2 Anthropology Intelligence Leadership Officer 2 Treachery	2	6	6	When an opponent's personnel at this mission is stopped by a dilemma, you may discard a card from hand to randomly select another personnel at this mission to be stopped.
Warp Bubble Mishap	Excelsior	ST2E08019	C	N	8C019	Dilemma	1	S														Choose a personnel who has Physics or Science to be stopped.  If you cannot, randomly select a personnel to be killed.
Telepathic Invasion	Excelsior	ST2E08017	U	N	8U017	Dilemma	2	D														Unless you have Diplomacy, Officer, and Telepathy or Intelligence, Treachery, and Cunning>22, randomly select a personnel to be stopped, and if the opponent on your left commands Romulus, he or she may examine your hand and discard a card of his or her choice from the revealed cards.
Tactical Disadvantage	Excelsior	ST2E08016	R	N	8R016	Dilemma	2	S														Reveal your hand and the hand of the opponent on your left.  If your opponent reveals ships with more total Weapons than the total Shields of ships that you have revealed in this way, randomly select one of your personnel to be killed and all your personnel are stopped.
Outclassed	Excelsior	ST2E08013ab	R	N	8R013	Dilemma	3	S														Unless you have unused Range>8 or Weapons>8 all your personnel are stopped.
Cultural Differences	Excelsior	ST2E08008	C	N	8C008	Dilemma	1	P														Choose a personnel who has Acquisition or Anthropology to be stopped.  If you cannot, randomly select a personnel to be killed.
Chula: Move Along Home	Excelsior	ST2E08006	U	N	8U006	Dilemma	3	D														Randomly select three personnel.  If the highest Strength among those personnel is even, all three of them are stopped.
Wesley Crusher Nova Squadron Pilot	Excelsior	ST2E08076	R	Y	8R076	Personnel	3					Federation	[Stf][E]		Cadet. 		Human	Astrometrics Honor Navigation Physics Programming	6	7	5	While this personnel is present with your Cadet, he loses Honor and gains Navigation and Treachery.
Sito Jaxa Nova Squadron Pilot	Excelsior	ST2E08075	C	Y	8C075	Personnel	1					Federation	[Stf][E]		Cadet. 		Bajoran		5	6	5	While this personnel is facing a dilemma, she is attributes +1 and gains Engineer, Navigation, Programming, Science, and Transporters.
Nicholas Locarno Nova Squadron Leader	Excelsior	ST2E08074	U	Y	8U074	Personnel	1					Federation	[Cmd][E]		Cadet. 		Human		5	5	6	While this personnel is facing a dilemma, he gains Diplomacy, Leadership, Navigation, Officer and Treachery and each Cadet present is attributes +1.
Jean Hejar Nova Squadron Navigator	Excelsior	ST2E08073	C	Y	8C073	Personnel	1					Federation	[Stf][E]		Cadet. 		Human		5	5	5	While this personnel is facing a dilemma, she is attributes +1 and gains Astrometrics, Navigation, Physics, Security and Transporters.
Boothby Groundskeeper	Excelsior	ST2E08072	C	Y	8C072	Personnel	2					Federation	[E]				Human	Anthropology Honor	7	6	4	Each of your Cadets is attributes +1 while he or she is facing a dilemma.
Practice Orbital Maneuvers	Excelsior	ST2E08059	U	Y	8U059	Mission	0	S	2	40	A	[Fed]			Region: Sector 001. 			Astrometrics, Leadership, Navigation, Security, Cunning>36, and 3 Cadets				Cadets may complete this mission as if they were facing a dilemma.
Agonizing Encounter	Excelsior	ST2E08001	R	N	8R001	Dilemma	5	D														For each headquarters you command, this dilemma is cost -1.  Your opponent names a skill.  For each of your missions that requires that skill, randomly select a personnel to be stopped.
Avert Solar Implosion	Excelsior	ST2E09005ab	R	Y	9R005	Mission	0	P	2	35	A	Any affiliation (except [Bor]) may attempt this mission.						Archaeology, Geology, Physics, Science, and Cunning>34 or Anthropology, Honor, Leadership, Officer, and Strength>38				
Deliver Ancient Artifact	Excelsior	ST2E09006ab	R	Y	9R006	Mission	0	P	2	40	A	Any affiliation (except [Bor]) may attempt this mission.						Archaeology, Exobiology, 2 Geology, Science, and Cunning>34 or Diplomacy, 2 Honor, Leadership, Security, and Strength>38				
Deliver Evidence	Excelsior	ST2E09007ab	R	Y	9R007	Mission	0	S	2	35	A	Any affiliation (except [Bor]) may attempt this mission.			Region: Bajor System. 			Anthropology, Honor, Intelligence, Officer, and Integrity>32 or Archaeology, Navigation, Science, Security, and Cunning>34				
Nose to Nose	Excelsior	st2e-en10013	C	N	10C013	Dilemma	0	D														Randomly select two personnel.  If they both have the same cost, they are both stopped.
Chameloid Chicanery	Excelsior	st2e-en10004	C	N	10C004	Dilemma	3	D														Randomly select a personnel to be stopped. If your opponent has an Infiltrator at this mission, randomly select a personnel to be killed.
Grebnedlog Pakled Captain	Excelsior	st2e-en10092	C	Y	10C092	Personnel	2					Non-Aligned	[Cmd]		Commander: Mondor. 		Pakled	Exobiology Honor Leadership Officer	6	6	4	While present with a non-[NA] personnel, this personnel loses Honor and gains Transporters and Treachery.
Lal Beloved	Excelsior	st2e-en10094	R	Y	10R094	Personnel	2					Non-Aligned					Android	Programming	5	5	5	While this personnel is attempting a mission, you may reveal three Androids from hand to make her attributes +4 and gain any two skills until the end of the turn. If you do this, she is killed at the end of this turn. You may only do this once each turn.
D'Tan Curious Youth	Excelsior	st2e-en10101	C	Y	10C101	Personnel	3					Romulan			Dissident. 		Romulan	Anthropology Archaeology Geology Honor Science	7	4	4	When this personnel is stopped by a dilemma, choose an opponent to discard the top card of his or her deck.
Starting Over	Excelsior	st2e-en10034	U	N	10U034	Event	1															Count the number of cards in your hand and discard your hand to draw an equal number of cards. Then, if you command a Borg personnel, draw two additional cards. Destroy this event.
The Spirit of Kahless	Excelsior	st2e-en10037	R	N	10R037	Event	2								Assault. 							Order - Destroy this event to begin combat involving your [Kli] Honor personnel. If you win, the opponent on your left places the top two dilemmas of his or her dilemma pile beneath one of your non-headquarters missions.
K'Temoc Long Slumbering Commander	Excelsior	st2e-en10090	U	Y	10U090	Personnel	3					Klingon	[Cmd]		Commander: I.K.S. T'Ong. 		Klingon	Leadership Navigation Officer Treachery	4	5	7	When this personnel is involved in combat and you command more Assault events than each opponent, you may kill this personnel to unstop each of your Klingon personnel present at the end of that combat.
I.K.S. T'Ong Sleeper Ship	Excelsior	st2e-en10116	U	Y	10U116	Ship	5					Klingon		[Cmd][Stf]	Cloaking Device. 	K't'inga Class			7	7	7	When you win an engagement with this ship and its Commander is aboard it, you may place a [Kli] personnel from hand aboard this ship.
Jovis Museum	Excelsior	st2e-en10118	U	Y	10U118	Ship	5					Non-Aligned		[Cmd]		Zibalian Class			6	5	5	While you have more Artifacts in your core than any opponent, each Treachery personnel aboard this ship is attributes +1.
Mondor Far From Home	Excelsior	st2e-en10119	R	Y	10R119	Ship	5					Non-Aligned		[Cmd][Stf]		Brendob Class			6	5	5	While you have its Commander aboard it, this ship is attributes +1 for each non-[NA] personnel aboard. (limit +4)
Fractured Time	Excelsior	st2e-en13009	C	N	13C009	Dilemma	4	D														Randomly select nine personnel. All your other personnel are removed from the game.
Data From the City of Rateg	Excelsior	st2e-en13099	R	Y	13R099	Personnel	5					Romulan	[Cmd]		Dissident. 		Android	Engineer Exobiology Intelligence Programming Transporters	6	10	10	Order - Name a dilemma. While this personnel is facing that dilemma, he cannot be killed or stopped. This effect lasts until this order is executed again.
Investigate Derelict	Excelsior	st2e-en13046	U	Y	13U046	Mission	0	S	3	35	A	Any affiliation may attempt this mission.			Region: Delphic Expanse. 			Engineer, Exobiology, Navigation, Security, and Cunning>35				When you complete this mission, if an opponent has had more turns than you have, restore all Range of your ship at this mission used this turn.
Bigger Tattoo	Excelsior	st2e-en13023	R	Y	13R023	Event	4								Q. 							Plays in your core. When you draw dilemmas, if your opponent's personnel is attempting a space mission, you may remove a planet dilemma you have drawn from the game to draw two additional dilemmas. When you draw dilemmas, if your opponent's personnel is attempting a planet mission, you may remove a space dilemma you have drawn from the game to draw two additional dilemmas.
Navigate Argolis Cluster	Excelsior	st2e-en12041	U	Y	12U041	Mission	0	S	4	35	A	[Fed] [Kli]						Astrometrics, 2 Navigation, Physics, and Cunning>32				You may attempt and complete this mission using your [Dom] personnel with these requirments: Officer, Leadership, Security and Strength>36.
Secure Strategic Base	Excelsior	st2e-en12042	U	Y	12U042	Mission	0	P	2	30	A	[Fed] [Kli] [SF]						Anthropology, 2 Leadership, Security, and (Cunning>32 or Strength>32)				Each of your [Pa] personnel at this mission is attributes +1.
Neural Parasites	Excelsior	st2e-en12013	R	N	12R013	Dilemma	2	P														This dilemma is cost +3 for each mission you have completed. For each headquarters mission you command, your opponent chooses a personnel to be killed.
Grilka Glorious Lady	Excelsior	st2e-en13090	R	Y	13R090	Personnel	4					Klingon	[Cmd]				Klingon	Anthropology Biology Honor Leadership	6	5	6	When you play this personnel, if you command an Honor personnel, she is cost -1. While this personnel is facing a dilemma, the cost of the personnel in your discard pile that has the highest cost is added to her attributes.
Jera	Excelsior	st2e-en13101	C	N	13C101	Personnel	1					Romulan	[AU]				Alien	Biology Medical Science Security	5	5	4	You may play this personnel aboard your [Rom] ship. When this personnel is randomly selected by a dilemma, return her to her owner's hand.
U.S.S. Pasteur Medical Ship	Excelsior	WYLB113a	R	Y	14R113	Ship	6					Federation	[TNG][Fut]	[Cmd][Cmd][Stf][Stf]		Hope Class			7	7	8	While your [Fed] Medical personnel is aboard this ship, it is Range +5. While your [Fut] personnel aboard is attempting a space mission, you may destroy your Decay event to make that personnel gain a skill required by that mission until the end of this turn.
Vascular Pad	Excelsior	WYLB021	C	N	14C021	Equipment	4															When your personnel present is about to be stopped by a dilemma, you may place this equipment on the bottom of its owner's deck to prevent that.
